1,94103023,14745600,2,1
2,7758499,14745600,2,1
3,4077,14745600,2,1
4,8261,14745600,2,1
5,8300,14745600,2,1
6,30262,14745600,2,1
7,9101,14745600,2,1
8,16575,14745600,2,1
9,16322,14745600,2,1
10,16381,14745600,2,1
11,16670,14745600,2,1
12,17567,14745600,2,1
13,17027,14745600,2,1
14,16973,14745600,2,1
15,15560,14745600,2,1
16,15197,14745600,2,1
17,17676,14745600,2,1
18,16499,14745600,2,1
19,16723,14745600,2,1
20,16942,14745600,2,1
21,16673,14745600,2,1
22,17699,14745600,2,1
23,16731,14745600,2,1
24,16548,14745600,2,1
25,16705,14745600,2,1
26,14122,14745600,2,1
27,17883,14745600,2,1
28,16547,14745600,2,1
29,16907,14745600,2,1
30,16673,14745600,2,1
31,16669,14745600,2,1
32,17398,14745600,2,1
33,16747,14745600,2,1
34,16593,14745600,2,1
35,16856,14745600,2,1
36,16680,14745600,2,1
37,16685,14745600,2,1
38,16632,14745600,2,1
39,16646,14745600,2,1
40,16727,14745600,2,1
41,16666,14745600,2,1
42,16622,14745600,2,1
43,16743,14745600,2,1
44,16639,14745600,2,1
45,16681,14745600,2,1
46,16659,14745600,2,1
47,16609,14745600,2,1
48,16698,14745600,2,1
49,16630,14745600,2,1
50,16359,14745600,2,1
51,16993,14745600,2,1
52,17164,14745600,2,1
53,16524,14745600,2,1
54,16617,14745600,2,1
55,16687,14745600,2,1
56,16709,14745600,2,1
57,16666,14745600,2,1
58,16598,14745600,2,1
59,17305,14745600,2,1
60,13200,14745600,2,1
61,15118,14745600,2,1
